list,experimental_list,block,item_order,item_id,Condition,block_within_speaker,name,image,guise,topic,sentence,question,Answer,audio,trial_type,audio_question,audio_answer,audio_alt1,audio_alt2,audio_alt3
M1_list1BaseA-a,list1BaseA-a,1,0,NA,NA,1,Madison,w2_face.png,NA,NA,NA,NA,NA,Madison_Northern2_NoCollege_EPCAgreement.wav,audio,Where is Madison from?,"Suburbs of Columbus, Ohio",Coast of Maine,Rural part of Nebraska,"Chicago, Illinois"
M1_list1BaseA-a,list1BaseA-a,1,1,Without_6_Y,Without,1,Madison,w2_face.png,Northern,ugh frostbite,it's probably because Patrick decided to ski without his gloves off last weekend.,Was Patrick wearing his gloves when he decided to ski?,y,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,1,2,SVA_35_SPP,SVA,1,Madison,w2_face.png,Northern,look behind the door,did you notice that the hook for the jackets totally were on the wall.,Was there more than one hook on the wall?,n,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,1,3,Colloq9,Colloq,1,Madison,w2_face.png,Northern,hey,you going to mark's party tmrw night?,Is Mark having an event?,y,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,1,4,SVA_48_SSS,SVA,1,Madison,w2_face.png,Northern,so shiny,it's so nice that the trophy for the competitor finally was on the stage.,Was there more than one trophy on the stage?,n,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,2,0,NA,NA,1,Hayley,w3_face.png,NA,NA,NA,NA,NA,Hayley_Southern1_NoCollege_EPCAgreement.wav,audio,Where is Hayley from?,Mountains of southwest Virginia,New York City,Suburbs of St. Louis,Farm community in central Kansas
M1_list1BaseA-a,list1BaseA-a,2,1,Colloq48,Colloq,1,Hayley,w3_face.png,Southern,so for the house party,is it alright if my friend comes to the thing tn??,Does Hayley intend to go to a party tonight?,y,Hayley_Southern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,2,2,Without_8_N,Without,1,Hayley,w3_face.png,Southern,haha,don't tell me Clara danced in the rain without her jacket on last night.,Was Clara wearing her jacket when she danced last night?,n,Hayley_Southern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,2,3,SVA_23_SSP,SVA,1,Hayley,w3_face.png,Southern,back to Niagra Falls,she said the van for the tourist finally were left parked a mile away.,Was there more than one van a mile away?,n,Hayley_Southern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,2,4,Colloq22,Colloq,1,Hayley,w3_face.png,Southern,so it's family weekend,after the game my brother will be coming over btw,Is Hayley going to spend some time with her brother soon?,y,Hayley_Southern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,3,0,NA,NA,1,Ashley,w1_face.png,NA,NA,NA,NA,NA,Ashley_Northern1_NoCollege_EPCAgreement.wav,audio,Where is Ashley from?,Outside of D.C.,Desert town in western Nevada,Near San Francisco,Small town in eastern Pennsylvania
M1_list1BaseA-a,list1BaseA-a,3,1,GlobalAmb7,GlobalAmb,1,Ashley,w1_face.png,Northern,a few plot spoilers:,in the movie the uncle of the milkman who had to support himself with a low income liked to fish.,Was it the milkman who was self-supporting?,y,Ashley_Northern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,3,2,Without_4_Y,Without,1,Ashley,w1_face.png,Northern,anyways exercise,he saw that Lulu visited the gym without her hat off late yesterday night.,Was Lulu wearing her hat when she visited the gym?,y,Ashley_Northern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,3,3,SVA_47_SSP,SVA,1,Ashley,w1_face.png,Northern,this is convenient,did you notice that the tray for the meal totally were left over there.,Was there more than one tray left over there?,n,Ashley_Northern1_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
