list,experimental_list,block,item_order,item_id,Condition,block_within_speaker,name,image,guise,topic,sentence,question,Answer,audio,trial_type,audio_question,audio_answer,audio_alt1,audio_alt2,audio_alt3
M1_list1BaseA-a,list1BaseA-a,1,0,NA,NA,1,Madison,w2_face.png,NA,NA,NA,NA,NA,Madison_Northern2_NoCollege_EPCAgreement.wav,audio,Where is Madison from?,"Suburbs of Columbus, Ohio",Coast of Maine,Rural part of Nebraska,"Chicago, Illinois"
M1_list1BaseA-a,list1BaseA-a,1,1,Without_6_Y,Without,1,Madison,w2_face.png,Northern,ugh frostbite,it's probably because Patrick decided to ski without his gloves off last weekend.,Was Patrick wearing his gloves when he decided to ski?,y,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,1,2,SVA_35_SPP,SVA,1,Madison,w2_face.png,Northern,look behind the door,did you notice that the hook for the jackets totally were on the wall.,Was there more than one hook on the wall?,n,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,1,3,Colloq9,Colloq,1,Madison,w2_face.png,Northern,hey,you going to mark's party tmrw night?,Is Mark having an event?,y,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,1,4,SVA_48_SSS,SVA,1,Madison,w2_face.png,Northern,so shiny,it's so nice that the trophy for the competitor finally was on the stage.,Was there more than one trophy on the stage?,n,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,1,5,Colloq33,Colloq,1,Madison,w2_face.png,Northern,anyways,lowkey i am so not ready for work tmrw,Is Madison unprepared for something?,y,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,1,6,Colloq42,Colloq,1,Madison,w2_face.png,Northern,so excited,there's free ice cream in the common area btw,Does Madison like ice cream?,y,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,1,7,SVA_34_SPS,SVA,1,Madison,w2_face.png,Northern,saw this just a minute ago,"oh, but the frame for the photos probably was on the shelf.",Was there more than one frame on the shelf?,n,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,1,8,Colloq45,Colloq,1,Madison,w2_face.png,Northern,OH!,pls do not forget to send an invite to Cindy for dinner tn!!,Is Cindy going to be invited to dinner?,y,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,1,9,Colloq1,Colloq,1,Madison,w2_face.png,Northern,omg wait,did she actually do that???,Does Madison seem mad?,y,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,1,10,SVA_36_SSS,SVA,1,Madison,w2_face.png,Northern,no really,I know that the key to the cabinet literally was on the table.,Was there more than one key on the table?,n,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,1,11,PNC_14_P,PNC,1,Madison,w2_face.png,Northern,watch the National Parks documentary,in the movie the park ranger rescued a bird from nearly flying in to the window.,Did the bird fly in to the window?,y,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,1,12,Without_21_N,Without,1,Madison,w2_face.png,Northern,back to grocery shopping,seems like Laura went out shopping without her scarf on all yesterday morning.,Was Laura wearing her scarf when she went shopping yesterday?,n,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,1,13,PNC_2_C,PNC,1,Madison,w2_face.png,Northern,awww,last night a stranger rescued a dog from actually falling down a deep well.,Did the dog fall down a deep well?,n,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
M1_list1BaseA-a,list1BaseA-a,1,14,GlobalAmb11,GlobalAmb,1,Madison,w2_face.png,Northern,guess that's that,so maybe the son of the fireman who criticized himself far too often was painting the bedroom.,Was the fireman self-critical?,y,Madison_Northern2_NoCollege_EPCAgreement.wav,spr,NA,NA,NA,NA,NA
